,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
117,GEORGIA,SANDY SPRINGS,2016,103898,51,0,5,27,19,1296,234,985,77,4
118,GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,2016,240178,574,28,28,254,264,3950,789,2720,441,6
119,HAWAII,HONOLULU,2016,999307,1165,9,181,378,597,15535,1843,11477,2215,139
120,IDAHO,BOISE,2016,218844,330,2,64,20,244,2482,353,1961,168,19
121,ILLINOIS,AURORA,2016,201034,306,2,20,59,225,1163,197,907,59,11
122,ILLINOIS,CHICAGO,2016,2728695,13729,317,749,5164,7499,39151,6176,27768,5207,285
123,ILLINOIS,ELGIN,2016,111832,124,0,16,39,69,651,93,523,35,10
124,ILLINOIS,JOLIET,2016,147991,260,2,31,69,158,1378,282,1038,58,24
125,ILLINOIS,NAPERVILLE,2016,147101,37,0,4,13,20,697,72,608,17,1
126,ILLINOIS,PEORIA,2016,116066,378,6,34,121,217,1992,468,1449,75,36
127,ILLINOIS,ROCKFORD,2016,148178,1238,10,69,264,895,2684,598,1866,220,16
128,INDIANA,EVANSVILLE5,2016,120414,359,5,44,98,212,2898,468,2240,190,0
129,INDIANA,FORT WAYNE,2016,259712,450,16,47,161,226,3976,768,3062,146,28
130,INDIANA,SOUTH BEND,2016,101240,465,6,43,136,280,2201,485,1517,199,18
131,KANSAS,OLATHE,2016,134830,111,1,23,15,72,986,80,821,85,1
132,KANSAS,OVERLAND PARK,2016,187240,188,1,69,20,98,1376,235,1000,141,8
133,KANSAS,TOPEKA,2016,127096,304,8,27,100,169,3302,512,2439,351,1
134,KENTUCKY,LEXINGTON,2016,314077,504,9,86,276,133,5982,1052,4438,492,23
135,KENTUCKY,LOUISVILLE METRO6,2016,680550,2243,53,81,741,1368,14378,2810,9559,2009,6
136,LOUISIANA,BATON ROUGE,2016,228727,979,15,53,348,563,4708,1058,3381,269,65
137,LOUISIANA,LAFAYETTE,2016,127273,333,5,12,83,233,3156,533,2447,176,11
138,LOUISIANA,NEW ORLEANS,2016,393447,2041,67,299,685,990,7586,1277,5131,1178,34
139,LOUISIANA,SHREVEPORT,2016,197592,837,16,65,202,554,4729,986,3442,301,34
140,MARYLAND,BALTIMORE,2016,621252,5176,137,150,2340,2549,13822,3462,7844,2516,137
141,MASSACHUSETTS,CAMBRIDGE,2016,110953,162,2,16,38,106,1183,187,928,68,4
142,MASSACHUSETTS,LOWELL,2016,110819,220,0,6,54,160,969,176,662,131,8
143,MASSACHUSETTS,SPRINGFIELD,2016,154090,766,5,38,248,475,2459,737,1429,293,16
144,MASSACHUSETTS,WORCESTER,2016,183377,771,2,21,179,569,2711,746,1704,261,3
145,MICHIGAN,ANN ARBOR,2016,118730,106,0,32,20,54,926,126,757,43,3
146,MICHIGAN,DETROIT,2016,673225,5409,103,267,1130,3909,13442,3368,6229,3845,335
147,MICHIGAN,GRAND RAPIDS7,2016,195268,619,4,72,137,406,0,374,1472,0,28
148,MICHIGAN,LANSING,2016,114694,525,4,45,81,395,1248,308,799,141,3
149,MICHIGAN,WARREN,2016,135367,351,3,74,56,218,1647,427,1012,208,17
150,MINNESOTA,MINNEAPOLIS,2016,413479,2111,10,210,799,1092,7607,1381,5347,879,38
151,MINNESOTA,ROCHESTER,2016,112542,127,0,35,30,62,1186,173,970,43,0
152,MINNESOTA,ST. PAUL,2016,300721,1000,9,100,341,550,4360,900,2695,765,35
153,MISSISSIPPI,JACKSON,2016,170508,677,27,42,297,311,3875,922,2515,438,55
154,MISSOURI,COLUMBIA,2016,118911,244,2,40,61,141,1546,275,1183,88,6
155,MISSOURI,INDEPENDENCE,2016,117639,304,2,29,61,212,2989,444,2172,373,7
156,MISSOURI,KANSAS CITY,2016,473373,3668,51,178,862,2577,9204,2076,5459,1669,87
157,MISSOURI,SPRINGFIELD,2016,166860,1144,5,153,213,773,6283,1060,4639,584,31
158,MISSOURI,ST. LOUIS,2016,317095,2781,88,141,811,1741,8522,1605,5587,1330,136
159,MONTANA,BILLINGS,2016,109997,270,0,33,49,188,2537,319,1906,312,10
160,NEBRASKA,LINCOLN,2016,276585,473,8,101,90,274,4104,597,3324,183,0
161,NEBRASKA,OMAHA5,2016,452252,1141,12,118,248,763,8166,922,5820,1424,32
162,NEVADA,HENDERSON,2016,282554,305,3,48,106,148,2828,663,1851,314,8
163,NEVADA,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,2016,1562134,7277,83,735,2537,3922,22234,6115,11881,4238,49
164,NEVADA,NORTH LAS VEGAS,2016,234386,1122,11,46,243,822,2543,789,1151,603,9
165,NEVADA,RENO,2016,239721,809,4,72,190,543,3820,599,2693,528,8
166,NEW HAMPSHIRE,MANCHESTER,2016,110661,364,1,39,102,222,1565,240,1261,64,16
167,NEW JERSEY,EDISON TOWNSHIP,2016,102281,49,0,3,16,30,528,71,421,36,1
168,NEW JERSEY,ELIZABETH,2016,129364,511,3,22,235,251,1976,394,1141,441,1
169,NEW JERSEY,JERSEY CITY,2016,265159,598,11,33,258,296,1986,479,1257,250,23
170,NEW JERSEY,PATERSON,2016,146588,547,7,28,263,249,1498,464,727,307,5
171,NEW JERSEY,WOODBRIDGE TOWNSHIP,2016,100950,51,0,4,24,23,802,102,643,57,2
172,NEW MEXICO,ALBUQUERQUE,2016,559721,2897,32,193,847,1825,17888,2992,11575,3321,0
173,NEW MEXICO,LAS CRUCES,2016,102227,126,2,16,19,89,2351,377,1848,126,1
174,NEW YORK,AMHERST TOWN,2016,120207,45,1,3,15,26,953,79,857,17,2
175,NEW YORK,BUFFALO,2016,258096,1358,19,88,468,783,4803,1184,3227,392,108
176,NEW YORK,NEW YORK,2016,8550861,23543,159,1184,7366,14834,59928,5809,51171,2948,0
177,NEW YORK,ROCHESTER,2016,209922,879,16,72,291,500,3583,677,2572,334,48
178,NEW YORK,SYRACUSE,2016,144027,502,13,31,149,309,2209,469,1576,164,24
179,NEW YORK,YONKERS,2016,201753,464,4,21,206,233,988,181,712,95,9
180,NORTH CAROLINA,CARY,2016,160291,67,0,9,24,34,852,126,699,27,4
181,NORTH CAROLINA,FAYETTEVILLE,2016,204731,659,17,46,147,449,4598,892,3520,186,28
182,NORTH CAROLINA,GREENSBORO,2016,285950,898,7,41,252,598,4770,1029,3441,300,56
183,NORTH CAROLINA,HIGH POINT,2016,109669,318,2,16,74,226,1896,346,1463,87,5
184,NORTH CAROLINA,WILMINGTON,2016,115434,409,5,22,114,268,2348,659,1565,124,4
185,NORTH DAKOTA,FARGO,2016,118490,215,1,39,30,145,1737,251,1352,134,9
186,OHIO,AKRON,2016,197587,531,16,99,181,235,3210,979,1982,249,43
187,OHIO,CINCINNATI,2016,298478,1268,32,128,570,538,7064,1843,4716,505,0
188,OHIO,COLUMBUS,2016,847745,2124,40,395,1018,671,16668,3537,11572,1559,190
189,OHIO,DAYTON,2016,140683,573,9,44,202,318,3354,977,2030,347,7
190,OKLAHOMA,BROKEN ARROW,2016,106145,73,1,11,21,40,1016,166,783,67,3
191,OKLAHOMA,OKLAHOMA CITY,2016,630621,2462,30,227,547,1658,12436,2649,8381,1406,47
192,OKLAHOMA,TULSA,2016,401520,2064,28,226,455,1355,11532,2681,7179,1672,92
193,OREGON,EUGENE,2016,161608,285,2,42,58,183,2941,468,2163,310,29
194,OREGON,SALEM,2016,163320,238,4,17,61,156,3339,533,2510,296,13
