,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
99,CALIFORNIA,PALMDALE,2016,159613,351,5,27,93,226,1264,289,779,196,17
100,CALIFORNIA,PASADENA,2015,141815,204,1,28,66,109,1951,409,1372,170,30
101,CALIFORNIA,PASADENA,2016,141815,241,1,21,78,141,1722,413,1145,164,38
102,CALIFORNIA,POMONA,2015,154410,402,7,35,148,212,2333,328,1322,683,27
103,CALIFORNIA,POMONA,2016,154410,334,3,34,133,164,2316,414,1333,569,12
104,CALIFORNIA,RANCHO CUCAMONGA,2015,176376,102,1,17,37,47,1915,419,1327,169,4
105,CALIFORNIA,RANCHO CUCAMONGA,2016,176376,119,0,18,39,62,2072,483,1355,234,3
106,CALIFORNIA,RIALTO,2015,103590,207,1,19,73,114,1020,310,410,300,8
107,CALIFORNIA,RIALTO,2016,103590,254,2,9,84,159,946,301,290,355,1
108,CALIFORNIA,RICHMOND,2015,109716,469,8,25,227,209,2126,400,1078,648,15
109,CALIFORNIA,RICHMOND,2016,109716,474,9,40,170,255,1805,361,809,635,18
110,CALIFORNIA,RIVERSIDE,2015,323064,679,3,63,253,360,4949,781,3416,752,30
111,CALIFORNIA,RIVERSIDE,2016,323064,832,3,70,289,470,5443,934,3589,920,27
112,CALIFORNIA,SACRAMENTO,2015,489717,1830,25,50,572,1183,8056,1798,4858,1400,62
113,CALIFORNIA,SACRAMENTO,2016,489717,1733,13,42,536,1142,7875,1621,4740,1514,87
114,CALIFORNIA,SALINAS,2015,158185,589,12,40,224,313,2361,456,1033,872,12
115,CALIFORNIA,SALINAS,2016,158185,431,15,42,120,254,2738,340,1521,877,4
116,CALIFORNIA,SAN BERNARDINO,2015,216477,1213,16,45,417,735,5053,1564,2185,1304,30
117,CALIFORNIA,SAN BERNARDINO,2016,216477,1396,32,51,444,869,4431,1192,1957,1282,23
118,CALIFORNIA,SAN DIEGO,2015,1400467,2845,17,253,659,1916,13776,2435,8898,2443,104
119,CALIFORNIA,SAN DIEGO,2016,1400467,2644,24,297,723,1600,14865,2493,9412,2960,138
120,CALIFORNIA,SAN FRANCISCO,2015,863782,3452,24,174,1896,1358,27669,2688,21470,3511,160
121,CALIFORNIA,SAN FRANCISCO,2016,863782,2987,25,163,1497,1302,22833,2435,17815,2583,130
122,CALIFORNIA,SAN JOSE,2015,1031458,1700,11,178,581,930,12717,2466,6605,3646,60
123,CALIFORNIA,SAN JOSE,2016,1031458,1919,25,220,583,1091,11463,2052,6152,3259,55
124,CALIFORNIA,SAN MATEO,2015,104306,118,0,5,27,86,977,355,540,82,3
125,CALIFORNIA,SAN MATEO,2016,104306,109,0,12,22,75,1019,389,533,97,0
126,CALIFORNIA,SANTA ANA,2015,337304,773,6,69,259,439,3618,392,2287,939,22
127,CALIFORNIA,SANTA ANA,2016,337304,868,13,77,267,511,3428,557,1923,948,18
128,CALIFORNIA,SANTA CLARA,2015,123562,79,0,6,40,33,1848,280,1344,224,6
129,CALIFORNIA,SANTA CLARA,2016,123562,88,2,11,32,43,1297,175,959,163,6
130,CALIFORNIA,SANTA CLARITA,2015,211132,168,7,19,56,86,1412,293,997,122,10
131,CALIFORNIA,SANTA CLARITA,2016,211132,156,2,25,51,78,1476,325,963,188,5
132,CALIFORNIA,SANTA MARIA,2015,104355,214,4,26,67,117,1466,328,804,334,4
133,CALIFORNIA,SANTA MARIA,2016,104355,270,7,20,97,146,1371,233,815,323,3
134,CALIFORNIA,SANTA ROSA,2015,175738,312,2,40,65,205,2313,324,1739,250,20
135,CALIFORNIA,SANTA ROSA,2016,175738,333,4,48,58,223,1714,298,1192,224,11
136,CALIFORNIA,SIMI VALLEY,2015,127472,83,1,12,20,50,801,132,613,56,5
137,CALIFORNIA,SIMI VALLEY,2016,127472,88,0,17,22,49,780,171,561,48,2
138,CALIFORNIA,STOCKTON,2015,304890,2019,18,65,570,1366,6399,1450,3999,950,47
139,CALIFORNIA,STOCKTON,2016,304890,2158,25,57,578,1498,5912,1130,3949,833,42
140,CALIFORNIA,SUNNYVALE,2015,152443,78,0,17,34,27,1231,302,778,151,7
141,CALIFORNIA,SUNNYVALE,2016,152443,68,0,8,21,39,1012,266,629,117,9
142,CALIFORNIA,TEMECULA,2015,111673,51,0,5,20,26,1503,266,1077,160,1
143,CALIFORNIA,TEMECULA,2016,111673,62,2,3,27,30,1238,165,912,161,1
144,CALIFORNIA,THOUSAND OAKS,2015,129976,65,0,18,12,35,830,131,638,61,4
145,CALIFORNIA,THOUSAND OAKS,2016,129976,83,0,16,17,50,761,109,605,47,4
146,CALIFORNIA,TORRANCE,2015,149243,104,1,20,36,47,1418,272,980,166,1
147,CALIFORNIA,TORRANCE,2016,149243,116,0,12,58,46,1568,208,1173,187,3
148,CALIFORNIA,VALLEJO,2015,121257,502,8,55,154,285,2449,1084,852,513,17
149,CALIFORNIA,VALLEJO,2016,121257,517,10,48,167,292,2419,1120,691,608,36
150,CALIFORNIA,VENTURA,2015,110077,196,1,32,53,110,1945,327,1493,125,8
151,CALIFORNIA,VENTURA,2016,110077,183,4,28,46,105,1854,325,1382,147,3
152,CALIFORNIA,VICTORVILLE,2015,123332,379,4,33,96,246,1901,543,1080,278,23
153,CALIFORNIA,VICTORVILLE,2016,123332,314,4,21,95,194,1833,452,1125,256,10
154,CALIFORNIA,VISALIA,2015,130405,309,3,57,75,174,1982,427,1315,240,10
155,CALIFORNIA,VISALIA,2016,130405,264,2,29,53,180,1969,492,1137,340,1
156,CALIFORNIA,WEST COVINA,2015,109030,121,1,6,39,75,1460,182,1049,229,2
157,CALIFORNIA,WEST COVINA,2016,109030,146,2,9,64,71,1442,270,921,251,5
158,COLORADO,ARVADA,2015,115379,80,1,15,16,48,1323,144,1086,93,11
159,COLORADO,ARVADA,2016,115379,103,1,16,21,65,1445,165,1107,173,12
160,COLORADO,AURORA,2015,360237,763,7,183,203,370,5037,807,3632,598,34
161,COLORADO,AURORA,2016,360237,904,7,136,280,481,5477,811,3924,742,29
162,COLORADO,COLORADO SPRINGS,2015,452410,885,8,135,185,557,7591,1113,5791,687,67
163,COLORADO,COLORADO SPRINGS,2016,452410,1135,7,255,197,676,7574,1187,5489,898,51
164,COLORADO,DENVER,2015,682418,2122,20,312,559,1231,11212,2196,7017,1999,57
165,COLORADO,DENVER,2016,682418,2126,20,255,573,1278,12336,2384,7655,2297,43
166,COLORADO,FORT COLLINS,2015,159629,145,1,11,17,116,1701,215,1398,88,6
167,COLORADO,FORT COLLINS,2016,159629,133,1,13,14,105,1583,165,1334,84,7
168,COLORADO,LAKEWOOD,2015,151311,425,4,66,98,257,3550,420,2763,367,6
169,COLORADO,LAKEWOOD,2016,151311,437,3,76,82,276,4124,492,3194,438,11
