,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
257,ILLINOIS,AURORA,2018,201599,257,2,27,46,182,1071,129,872,70,4
259,ILLINOIS,CHICAGO,2018,2706171,12987,253,828,4631,7275,40135,5414,29900,4821,191
261,ILLINOIS,ELGIN,2018,112767,91,2,17,29,43,667,78,548,41,2
263,ILLINOIS,JOLIET,2018,148342,233,3,20,65,145,1004,229,711,64,27
265,ILLINOIS,NAPERVILLE,2018,147934,50,0,14,9,27,664,82,567,15,0
267,ILLINOIS,PEORIA,2018,114157,418,10,33,79,296,2187,462,1515,210,28
269,ILLINOIS,ROCKFORD,2018,146770,976,9,59,151,757,2575,605,1761,209,29
271,ILLINOIS,SPRINGFIELD,2018,115568,487,7,34,86,360,2494,584,1823,87,9
273,INDIANA,EVANSVILLE,2018,119371,323,7,41,78,197,2591,377,1969,245,14
275,INDIANA,FORT WAYNE,2018,266259,508,22,71,149,266,3342,488,2585,269,17
277,INDIANA,INDIANAPOLIS,2018,870788,5402,73,341,1436,3552,17350,3512,11395,2443,100
279,INDIANA,SOUTH BEND,2018,101857,465,5,34,139,287,1844,422,1265,157,17
281,IOWA,CEDAR RAPIDS,2018,131878,149,3,13,44,89,2183,390,1644,149,8
283,IOWA,DAVENPORT,2018,103063,314,6,44,68,196,2327,494,1578,255,7
285,KANSAS,OLATHE,2018,137070,153,2,45,12,94,996,65,852,79,6
287,KANSAS,OVERLAND PARK,2018,191566,205,2,65,37,101,1778,168,1440,170,10
289,KANSAS,TOPEKA,2018,126624,328,8,29,93,198,3119,431,2359,329,3
291,KANSAS,WICHITA,2018,391084,2251,24,179,245,1803,9424,1552,6541,1331,69
293,KENTUCKY,LEXINGTON,2018,322332,491,17,107,228,139,5148,743,3888,517,23
295,LOUISIANA,BATON ROUGE,2018,227403,1025,44,46,335,600,5982,1438,4031,513,85
297,LOUISIANA,LAFAYETTE,2018,128691,359,3,14,87,255,2941,512,2251,178,10
299,LOUISIANA,NEW ORLEANS,2018,397447,2244,90,338,612,1204,8287,956,5928,1403,0
301,LOUISIANA,SHREVEPORT,2018,193937,805,17,68,168,552,4909,924,3556,429,44
303,MARYLAND,BALTIMORE,2018,613217,5146,135,188,2318,2505,12339,2828,7492,2019,98
305,MASSACHUSETTS,BOSTON,2018,682903,2129,26,133,601,1369,6504,942,5031,531,0
307,MASSACHUSETTS,CAMBRIDGE,2018,111707,152,0,13,45,94,910,126,751,33,6
309,MASSACHUSETTS,LOWELL,2018,111294,156,3,8,48,97,806,191,532,83,8
311,MASSACHUSETTS,SPRINGFIELD,2018,154562,757,10,54,239,454,1879,444,1222,213,12
313,MASSACHUSETTS,WORCESTER,2018,185107,588,1,25,143,419,1861,405,1312,144,6
315,MICHIGAN,ANN ARBOR,2018,121930,127,2,26,17,82,842,104,715,23,3
317,MICHIGAN,CLINTON TOWNSHIP,2018,100999,157,1,32,8,116,683,75,521,87,7
319,MICHIGAN,DETROIT,2018,670792,6267,125,477,1104,4561,13374,3328,6927,3119,387
321,MICHIGAN,GRAND RAPIDS,2018,197868,573,4,51,133,385,1563,277,1199,87,18
323,MICHIGAN,LANSING,2018,116302,574,2,59,71,442,1552,367,1022,163,12
325,MICHIGAN,STERLING HEIGHTS,2018,132882,127,1,20,8,98,665,68,545,52,1
327,MICHIGAN,WARREN,2018,135303,333,0,64,59,210,1372,285,798,289,4
329,MINNESOTA,MINNEAPOLIS,2018,418971,1730,14,234,575,907,7685,1314,5316,1055,38
331,MINNESOTA,ROCHESTER,2018,115228,123,4,38,19,62,1045,139,854,52,1
333,MINNESOTA,ST. PAUL,2018,306696,907,4,139,258,506,4685,813,2620,1252,55
335,MISSOURI,COLUMBIA,2018,122585,179,3,45,38,93,1556,204,1216,136,4
337,MISSOURI,INDEPENDENCE,2018,117055,248,9,27,50,162,3087,384,2063,640,0
339,MISSOURI,KANSAS CITY,2018,484948,3794,61,188,761,2784,10185,1877,6183,2125,118
341,MISSOURI,SPRINGFIELD,2018,168654,1013,4,162,136,711,5539,905,3950,684,26
343,MISSOURI,ST. LOUIS,2018,310284,2722,83,151,652,1836,8476,1282,6001,1193,0
345,MONTANA,BILLINGS,2018,111317,269,1,29,53,186,2671,333,1952,386,9
347,NEBRASKA,LINCOLN,2018,284063,510,2,142,67,299,3884,589,3118,177,19
349,NEBRASKA,OMAHA,2018,449388,1258,13,215,187,843,7312,824,5125,1363,0
351,NEVADA,HENDERSON,2018,299285,267,4,34,93,136,3063,543,2155,365,9
353,NEVADA,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,2018,1627244,5129,68,766,1367,2928,23599,6152,13414,4033,51
355,NEVADA,NORTH LAS VEGAS,2018,242537,1148,13,74,202,859,2774,693,1467,614,7
357,NEVADA,RENO,2018,248531,759,2,89,140,528,3088,484,2082,522,6
359,NEW HAMPSHIRE,MANCHESTER,2018,110655,317,0,35,65,217,1303,154,1072,77,9
361,NEW JERSEY,EDISON TOWNSHIP,2018,102699,52,1,2,18,31,564,85,439,40,2
363,NEW JERSEY,ELIZABETH,2018,129726,395,3,23,156,213,1927,297,1227,403,5
365,NEW JERSEY,LAKEWOOD TOWNSHIP,2018,102759,48,0,1,5,42,369,72,270,27,5
367,NEW JERSEY,NEWARK,2018,283673,999,36,74,331,558,2877,431,1297,1149,25
369,NEW JERSEY,PATERSON,2018,147690,494,4,24,229,237,1825,384,1198,243,4
371,NEW JERSEY,WOODBRIDGE TOWNSHIP,2018,102129,64,0,4,15,45,647,65,543,39,4
373,NEW MEXICO,LAS CRUCES5,2018,102350,194,3,18,19,154,1810,267,1418,125,3
375,NEW YORK,AMHERST TOWN,2018,121150,79,0,12,25,42,780,88,679,13,1
377,NEW YORK,BUFFALO,2018,256169,1289,24,92,416,757,4504,1052,2986,466,77
379,NEW YORK,NEW YORK,2018,8616333,22429,148,1452,6223,14606,59977,5086,52427,2464,0
381,NEW YORK,ROCHESTER,2018,208591,742,12,66,239,425,3153,511,2374,268,30
383,NEW YORK,SYRACUSE,2018,143069,405,9,43,107,246,1874,331,1350,193,18
385,NEW YORK,YONKERS,2018,201554,370,0,16,108,246,839,136,630,73,2
387,NORTH CAROLINA6,CARY,2018,166986,0,0,,22,42,779,137,624,18,3
389,NORTH CAROLINA8,CHARLOTTE-MECKLENBURG,2018,914609,0,29,,838,1910,16618,2848,12345,1425,74
391,NORTH CAROLINA10,DURHAM,2018,269088,0,13,,276,469,4439,1104,3008,327,19
393,NORTH CAROLINA12,GREENSBORO,2018,290051,0,24,,258,554,4615,945,3335,335,53
395,NORTH CAROLINA14,WILMINGTON,2018,119422,0,4,,59,236,1439,377,966,96,4
397,NORTH DAKOTA,FARGO,2018,123430,252,2,50,33,167,1826,318,1361,147,5
399,OHIO,AKRON,2018,197412,746,12,105,169,460,3340,796,2185,359,27
401,OHIO,CINCINNATI,2018,299116,1118,31,134,414,539,6566,1389,4502,675,1
403,OHIO,CLEVELAND,2018,385351,2796,39,224,887,1646,7830,2061,4266,1503,77
405,OHIO,COLUMBUS,2018,872205,2071,54,390,850,777,14786,3008,9758,2020,7
407,OHIO,DAYTON,2018,140171,656,13,82,206,355,2978,810,1790,378,10
409,OHIO,TOLEDO,2018,277116,1013,24,95,227,667,4996,1270,3402,324,3
411,OKLAHOMA,BROKEN ARROW,2018,108823,69,1,30,6,32,1140,157,889,94,3
413,OKLAHOMA,NORMAN,2018,124074,148,2,33,23,90,1609,255,1200,154,4
415,OKLAHOMA,OKLAHOMA CITY,2018,648260,2708,34,264,491,1919,12384,3050,7689,1645,28
417,OKLAHOMA,TULSA,2018,404868,1993,21,192,366,1414,10792,2359,6812,1621,97
419,OREGON,EUGENE,2018,168310,317,1,61,93,162,2741,405,2074,262,21
421,OREGON,GRESHAM,2018,112466,216,0,33,53,130,1902,235,1017,650,4
423,OREGON,HILLSBORO,2018,107433,167,0,38,34,95,1028,95,824,109,4
425,OREGON,PORTLAND,2018,649408,1684,10,236,525,913,17982,2172,12409,3401,132
427,OREGON,SALEM,2018,169565,379,0,32,94,253,3721,403,2788,530,22
429,PENNSYLVANIA,ALLENTOWN,2018,120823,187,4,25,81,77,1336,203,998,135,4
431,PENNSYLVANIA,PHILADELPHIA,2018,1575595,6956,148,536,2481,3791,23172,3036,17491,2645,212
433,RHODE ISLAND,PROVIDENCE,2018,179854,425,5,57,119,244,2807,391,2096,320,8
435,SOUTH CAROLINA,CHARLESTON,2018,136845,174,4,18,33,119,1403,136,1106,161,3
437,SOUTH DAKOTA,SIOUX FALLS,2018,177888,349,2,49,49,249,2357,287,1813,257,16
439,TENNESSEE,CHATTANOOGA,2018,178753,911,9,74,168,660,5210,703,3809,698,3
441,TENNESSEE,CLARKSVILLE,2018,153294,498,12,46,66,374,2201,298,1745,158,12
443,TENNESSEE,KNOXVILLE,2018,187539,791,16,68,153,554,4444,655,3256,533,5
445,TENNESSEE,MEMPHIS,2018,652765,6006,71,230,1401,4304,20060,4101,13709,2250,135
447,TENNESSEE,MURFREESBORO,2018,136102,322,4,44,56,218,2067,296,1640,131,4
449,TENNESSEE,NASHVILLE METROPOLITAN,2018,681186,3639,41,218,939,2441,12569,1665,9461,1443,25
451,TEXAS,ABILENE,2018,122981,269,2,50,39,178,1865,441,1294,130,1
453,TEXAS,ALLEN,2018,101779,60,0,18,11,31,610,64,522,24,0
455,TEXAS,AMARILLO,2018,200993,784,5,103,136,540,4164,725,2992,447,16
457,TEXAS,ARLINGTON,2018,397377,902,4,103,187,608,5998,798,4581,619,7
459,TEXAS,AUSTIN,2018,971949,1886,18,383,521,964,15202,1929,12075,1198,36
461,TEXAS,BEAUMONT,2018,118456,636,5,54,173,404,2222,483,1528,211,18
463,TEXAS,CARROLLTON,2018,135823,93,2,26,29,36,1130,187,826,117,0
465,TEXAS,COLLEGE STATION,2018,115357,114,1,29,15,69,1226,134,1028,64,0
