,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson,Total
85,COLORADO,PUEBLO,2015,108810,457.0,3.0,93.0,80.0,281.0,3413.0,1038.0,2016.0,359.0,19.0,7759.0
86,COLORADO,THORNTON,2015,133188,166.0,1.0,51.0,30.0,84.0,2176.0,303.0,1560.0,313.0,12.0,4696.0
87,COLORADO,WESTMINSTER,2015,113547,135.0,1.0,28.0,20.0,86.0,1746.0,179.0,1337.0,230.0,3.0,3765.0
88,CONNECTICUT,BRIDGEPORT5,2015,148313,488.0,8.0,39.0,214.0,227.0,1506.0,385.0,882.0,239.0,6.0,3994.0
89,CONNECTICUT,HARTFORD,2015,124553,698.0,15.0,15.0,253.0,415.0,2549.0,414.0,1749.0,386.0,27.0,6521.0
90,CONNECTICUT,NEW HAVEN,2015,130403,582.0,6.0,28.0,224.0,324.0,2399.0,341.0,1759.0,299.0,10.0,5972.0
91,CONNECTICUT,STAMFORD,2015,129682,128.0,2.0,8.0,39.0,79.0,798.0,96.0,624.0,78.0,1.0,1853.0
92,CONNECTICUT,WATERBURY6,2015,109044,206.0,1.0,13.0,119.0,73.0,2093.0,203.0,1464.0,426.0,2.0,4600.0
93,FLORIDA,CAPE CORAL,2015,173844,114.0,0.0,6.0,22.0,86.0,1552.0,288.0,1197.0,67.0,2.0,3334.0
94,FLORIDA,CLEARWATER,2015,111316,302.0,6.0,36.0,92.0,168.0,2188.0,306.0,1738.0,144.0,7.0,4987.0
95,FLORIDA,CORAL SPRINGS,2015,129631,105.0,0.0,17.0,34.0,54.0,1111.0,157.0,884.0,70.0,1.0,2433.0
96,FLORIDA,DAVIE,2015,100612,120.0,1.0,14.0,33.0,72.0,1482.0,197.0,1153.0,132.0,5.0,3209.0
97,FLORIDA,FORT LAUDERDALE,2015,178598,692.0,4.0,68.0,200.0,420.0,4532.0,877.0,3266.0,389.0,13.0,10461.0
98,FLORIDA,GAINESVILLE,2015,129410,416.0,2.0,43.0,91.0,280.0,2108.0,265.0,1719.0,124.0,5.0,5053.0
99,FLORIDA,HIALEAH,2015,238132,407.0,2.0,14.0,142.0,249.0,2769.0,340.0,2088.0,341.0,14.0,6366.0
100,FLORIDA,HOLLYWOOD,2015,149822,353.0,6.0,34.0,131.0,182.0,2756.0,537.0,1958.0,261.0,1.0,6219.0
101,FLORIDA,JACKSONVILLE,2015,867258,2764.0,46.0,226.0,620.0,1872.0,16090.0,3172.0,11840.0,1078.0,41.0,37749.0
102,FLORIDA,LAKELAND,2015,103498,246.0,3.0,37.0,59.0,147.0,2368.0,371.0,1846.0,151.0,3.0,5231.0
103,FLORIDA,MIAMI,2015,437969,2226.0,42.0,33.0,829.0,1322.0,9604.0,1568.0,6885.0,1151.0,44.0,23704.0
104,FLORIDA,MIAMI GARDENS,2015,113469,351.0,12.0,8.0,112.0,219.0,2001.0,390.0,1433.0,178.0,12.0,4716.0
105,FLORIDA,MIRAMAR,2015,138330,225.0,3.0,21.0,65.0,136.0,1357.0,194.0,1051.0,112.0,6.0,3170.0
